A000062,A000186,B000095,B000145,B000399,B000816,B000820,B000823,B000894,B001177,B001208,C000021,C000128,C000154,C000317,C000338,C000506,C000684,C000774,D000048,D000414,D000456,D000469,D000522,D000585,E000018,E000037,E000112,F000081,F000190,F000356,F000401,G000131,G000205,G000353,G000418,G000532,H000385,H000495,H000559,H000598,H000679,H000720,H000953,H000975,I000050,J000093,J000127,J000160,J000195,K000044,K000082,K000144,K000176,K000292,L000070,L000173,L000224,L000394,L000428,L000493,M000053,M000086,M000177,M000279,M000308,M000315,M000332,M000438,M000456,M000499,M000559,M000716,M000771,M001014,M001078,M001108,M001127,N000023,N000116,O000032,O000088,P000100,P000218,R000112,R000317,R000536,S000021,S000138,S000553,S000590,S000639,S000701,S000852,T000009,T000079,T000164,T000177,T000259,T000289,T000446,V000025,W000021,W000190,W000344,W000465,W000518,W000658,Y000047,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Yea,Present,Present,Yea,Yea,Yea,Not Voting,Present,Yea,Nay,Not Voting,Not Voting,Present,Nay,Not Voting,Present,Nay,Yea,Not Voting,Yea,Nay,Yea,Present,Yea,Nay,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Present,Yea,Yea,Present,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Present,Yea,Yea,Present,Yea,Present,Nay,Nay,Yea,Not Voting,Yea,Yea,Present,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Present,Yea,1950-01-25,0,,unknown,sjres25,,,,unknown
Nay,Nay,Present,Present,Yea,Yea,Yea,Nay,Present,Yea,Nay,Yea,Nay,Present,Nay,Yea,Present,Nay,Nay,Yea,Yea,Yea,Yea,Present,Nay,Nay,Nay,Present,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Present,Nay,Yea,Nay,Present,Nay,Yea,Present,Nay,Nay,Present,Yea,Present,Nay,Nay,Nay,Yea,Nay,Yea,Present,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,Yea,Yea,1950-02-01,0,,unknown,sjres2,,,,unknown
Nay,Nay,Present,Present,Yea,Nay,Yea,Nay,Present,Nay,Nay,Yea,Nay,Present,Nay,Yea,Present,Nay,Yea,Yea,Nay,Yea,Yea,Present,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Present,Nay,Yea,Nay,Present,Nay,Yea,Present,Nay,Nay,Present,Yea,Present,Nay,Nay,Nay,Yea,Nay,Yea,Present,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,1950-02-01,0,,unknown,sjres2,,,,unknown
Nay,Nay,Present,Present,Nay,Yea,Yea,Nay,Present,Yea,Nay,Nay,Yea,Present,Nay,Not Voting,Present,Nay,Nay,Yea,Yea,Nay,Nay,Present,Yea,Nay,Yea,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Present,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Present,Yea,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Present,Nay,Present,Nay,Nay,Nay,Yea,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Yea,Nay,Nay,Nay,Nay,1950-02-01,0,,unknown,sjres2,,,,unknown
Nay,Nay,Present,Present,Nay,Yea,Yea,Yea,Present,Yea,Nay,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Yea,Yea,Nay,Nay,Present,Nay,Nay,Nay,Present,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Present,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Nay,Yea,Present,Nay,Nay,Present,Nay,Nay,Present,Nay,Present,Nay,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Yea,Yea,Nay,Nay,Nay,Yea,1950-02-01,0,,unknown,sjres2,,,,unknown
Yea,Yea,Present,Present,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Nay,Present,Yea,Yea,Present,Yea,Nay,Nay,Nay,Yea,Yea,Present,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Present,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Present,Yea,Yea,Present,Nay,Yea,Nay,Not Voting,Yea,Yea,Present,Yea,Yea,Present,Yea,Present,Nay,Yea,Yea,Nay,Yea,Yea,Present,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Present,Nay,Nay,Yea,Yea,Yea,Nay,1950-02-01,0,,unknown,sjres2,,,,unknown
Not Voting,Nay,Present,Present,Yea,Yea,Yea,Nay,Present,Yea,Nay,Yea,Yea,Present,Nay,Nay,Present,Nay,Yea,Present,Yea,Nay,Present,Present,Yea,Present,Yea,Nay,Yea,Present,Present,Nay,Nay,Nay,Present,Present,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Present,Nay,Present,Present,Nay,Nay,Present,Nay,Yea,Yea,Present,Nay,Yea,Yea,Yea,Nay,Present,Yea,Nay,Present,Nay,Yea,Nay,Nay,Present,Nay,Present,Yea,Nay,Present,Nay,Present,Nay,Nay,Nay,Yea,Nay,Not Voting,Present,Nay,Yea,Yea,Nay,Present,Yea,Present,Not Voting,Nay,Present,Present,Yea,Yea,Yea,Yea,Yea,Nay,1950-02-02,0,,unknown,hr4080,,,,unknown
Yea,Not Voting,Present,Present,Not Voting,Yea,Yea,Yea,Present,Yea,Not Voting,Present,Yea,Present,Yea,Not Voting,Present,Yea,Yea,Yea,Yea,Yea,Not Voting,Present,Yea,Present,Yea,Yea,Yea,Present,Present,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Present,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Present,Not Voting,Yea,Yea,Present,Yea,Yea,Nay,Present,Yea,Nay,Yea,Yea,Yea,Present,Yea,Yea,Present,Present,Nay,Yea,Yea,Not Voting,Yea,Present,Yea,Yea,Present,Not Voting,Present,Yea,Yea,Yea,Nay,Yea,Yea,Present,Yea,Yea,Yea,Yea,Nay,Not Voting,Present,Nay,Yea,Present,Present,Yea,Yea,Yea,Nay,Yea,Present,1950-02-03,0,,unknown,hr4080,,,,unknown
Yea,Nay,Present,Present,Yea,Nay,Nay,Not Voting,Present,Nay,Present,Yea,Nay,Present,Yea,Nay,Present,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Present,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Present,Nay,Nay,Yea,Yea,Present,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Present,Nay,Nay,Present,Present,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Present,Not Voting,Present,Yea,Yea,Nay,Nay,Yea,Yea,Present,Yea,Yea,Yea,Nay,Nay,Present,Nay,Yea,Not Voting,Present,Present,Nay,Nay,Nay,Nay,Present,Present,1950-02-20,0,,unknown,sres58,,,,unknown
Nay,Yea,Present,Present,Yea,Nay,Nay,Not Voting,Present,Nay,Present,Nay,Yea,Present,Nay,Yea,Present,Yea,Nay,Nay,Nay,Yea,Nay,Present,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Present,Yea,Nay,Yea,Nay,Present,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Yea,Present,Present,Nay,Nay,Yea,Yea,Yea,Present,Yea,Yea,Present,Not Voting,Present,Nay,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,Not Voting,Present,Present,Nay,Nay,Nay,Nay,Present,Present,1950-02-20,0,,unknown,sres58,,,,unknown
Yea,Yea,Present,Present,Yea,Yea,Nay,Not Voting,Present,Yea,Present,Nay,Yea,Present,Nay,Yea,Present,Nay,Yea,Yea,Yea,Yea,Yea,Present,Yea,Present,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Present,Yea,Yea,Yea,Nay,Present,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Present,Present,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Present,Not Voting,Present,Nay,Nay,Yea,Yea,Yea,Yea,Present,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Present,Present,Yea,Yea,Yea,Yea,Present,Present,1950-02-20,0,,unknown,sres58,,,,unknown
Nay,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Nay,Nay,Present,Present,Present,Present,Present,Nay,Nay,Nay,Present,Present,Present,Nay,Present,Nay,Present,Present,Present,Present,Yea,Present,Present,Present,Present,Present,Yea,Nay,Present,Present,Yea,Yea,Present,Present,Nay,Present,Yea,Present,Present,Present,Present,Yea,Yea,Present,Nay,Present,Yea,Present,Yea,Yea,Present,Present,Present,Present,Present,Nay,Yea,Yea,Present,Present,Present,Present,Present,Nay,Present,Yea,Present,Present,Present,Present,Present,Present,Present,Present,Yea,Yea,Present,Nay,Present,Nay,Present,Yea,Present,Nay,Present,Present,Present,Present,Present,Present,Present,Present,Present,Nay,Present,Nay,Present,Present,1950-02-20,0,,unknown,hjres398,,,,unknown
Yea,Not Voting,Present,Present,Nay,Yea,Yea,Present,Present,Nay,Yea,Yea,Nay,Present,Nay,Nay,Present,Nay,Not Voting,Nay,Yea,Yea,Yea,Present,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Nay,Yea,Nay,Not Voting,Nay,Present,Yea,Nay,Present,Present,Present,Not Voting,Nay,Yea,Nay,Yea,Yea,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Yea,Present,Present,Nay,Yea,Yea,Yea,Nay,Not Voting,1950-02-21,0,,unknown,s75,,,,unknown
Nay,Not Voting,Present,Present,Nay,Yea,Yea,Present,Present,Yea,Yea,Yea,Nay,Present,Nay,Nay,Present,Nay,Not Voting,Nay,Nay,Yea,Yea,Present,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Yea,Nay,Present,Present,Present,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Yea,Present,Present,Nay,Yea,Yea,Yea,Nay,Not Voting,1950-02-21,0,,unknown,s75,,,,unknown
Yea,Not Voting,Present,Present,Nay,Yea,Yea,Present,Present,Yea,Yea,Yea,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,Present,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Nay,Nay,Present,Present,Present,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Present,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Present,Present,Nay,Yea,Yea,Yea,Nay,Not Voting,1950-02-21,0,,unknown,s75,,,,unknown
Nay,Not Voting,Present,Present,Nay,Yea,Yea,Present,Present,Yea,Yea,Yea,Nay,Present,Nay,Nay,Present,Nay,Not Voting,Nay,Yea,Yea,Yea,Present,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Yea,Nay,Present,Present,Present,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Nay,Nay,Present,Present,Nay,Yea,Yea,Yea,Nay,Not Voting,1950-02-21,0,,unknown,s75,,,,unknown
Yea,Not Voting,Present,Present,Nay,Yea,Yea,Present,Present,Yea,Yea,Yea,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,Present,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Not Voting,Nay,Present,Yea,Nay,Present,Present,Present,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Yea,Present,Present,Nay,Yea,Yea,Yea,Nay,Present,1950-02-21,0,,unknown,s75,,,,unknown
Yea,Not Voting,Present,Present,Nay,Yea,Yea,Present,Present,Yea,Yea,Yea,Yea,Present,Nay,Nay,Present,Nay,Nay,Nay,Nay,Yea,Yea,Present,Yea,Nay,Yea,Nay,Yea,Yea,Present,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Present,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Present,Nay,Nay,Present,Nay,Nay,Yea,Nay,Not Voting,Nay,Present,Nay,Nay,Present,Present,Present,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Present,Nay,Nay,Yea,Nay,Nay,Present,Nay,Yea,Nay,Present,Present,Nay,Yea,Yea,Yea,Nay,Not Voting,1950-02-21,0,,unknown,s75,,,,unknown
