A000083,A000153,A000160,B000014,B000070,B000227,B000418,B000508,B000541,B000818,B000902,B001142,B001183,C000016,C000051,C000065,C000118,C000200,C000298,C000357,C000425,C000576,C000973,D000035,D000095,D000509,E000110,F000045,F000398,G000023,G000110,G000127,G000157,G000313,G000326,G000396,H000029,H000169,H000243,H000377,H000590,H000654,I000027,J000231,J000237,K000121,K000353,L000327,L000393,M000116,M000200,M000300,M000567,M000777,M000818,M000821,M000954,M000969,M001090,N000040,P000042,P000095,P000188,P000232,P000271,P000382,P000545,P000547,P000561,Q000006,R000290,S000262,S000346,S000382,S000561,S000761,S000922,T000116,T000256,T000274,T000432,V000091,V000099,V000116,W000111,W000164,W000312,W000394,W000602,W000667,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,1896-02-01,0,,unknown,,,,,unknown
Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,1896-02-01,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,1896-02-01,0,,unknown,hr2904,,,,unknown
Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,1896-02-01,0,,unknown,hr2904,,,,unknown
Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,1896-02-01,0,,unknown,hr2904,,,,unknown
Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,1896-02-01,0,,unknown,hr2904,,,,unknown
Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,1896-02-01,0,,unknown,hr2904,,,,unknown
Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,1896-02-01,0,,unknown,hr2904,,,,unknown
Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,1896-02-04,0,,unknown,hr4321,,,,unknown
Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,1896-02-04,0,,unknown,,,,,unknown
Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,1896-02-05,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,1896-02-06,0,,unknown,,,,,unknown
Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,1896-02-07,0,,unknown,,,,,unknown
Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,1896-02-07,0,,unknown,,,,,unknown
Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,1896-02-07,0,,unknown,,,,,unknown
Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,1896-02-12,0,,unknown,s176,,,,unknown
Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,1896-02-13,0,,unknown,hr2749,,,,unknown
Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,1896-02-18,0,,unknown,hr4043,,,,unknown
Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,1896-02-24,0,,unknown,,,,,unknown
Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,1896-02-25,0,,unknown,hr2749,,,,unknown
