A000197,A000282,B000084,B000745,B000787,B000929,C000369,C000525,C000572,C000627,D000165,E000114,F000301,F000313,F000344,H000618,H000629,H000841,J000017,L000401,M000221,M000226,M000976,N000086,O000041,O000060,P000354,P000393,R000448,S000312,S000955,S001073,T000348,W000287,W000392,W000768,date,isAmendment,requires,result,title
Nay,Nay,Nay,,Not Voting,Nay,Yea,,Nay,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Nay,Yea,,Nay,,Yea,Yea,Nay,,Not Voting,Yea,Yea,,1801-03-04,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,1801-12-19,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,1801-12-19,0,,unknown,
Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,,,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,1802-01-05,0,,unknown,
Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,,,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,1802-01-05,0,,unknown,
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,1802-01-05,0,,unknown,
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,1802-01-11,0,,unknown,
Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,,,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1802-01-19,0,,unknown,
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,,,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,1802-01-19,0,,unknown,
Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,,,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,1802-01-22,0,,unknown,
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,,,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,1802-01-22,0,,unknown,
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,1802-01-26,0,,unknown,
Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1802-01-26,0,,unknown,
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,1802-01-26,0,,unknown,
Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1802-01-27,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,1802-02-02,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,1802-02-03,0,,unknown,
Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,,,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,1802-02-08,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,,,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,1802-02-12,0,,unknown,
Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,,,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,1802-02-03,0,,unknown,
Not Voting,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,1802-03-04,0,,unknown,
Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,1802-03-04,0,,unknown,
Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,1802-03-18,0,,unknown,
Nay,,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,1802-03-19,0,,unknown,
Nay,,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,1802-03-27,0,,unknown,
